,Forecast
2020-12-01,
2021-01-01,639609.1882243339
2021-02-01,623015.3837988457
2021-03-01,660407.2935970635
2021-04-01,607441.5901477499
2021-05-01,704673.9783865066
2021-06-01,572839.405696468
2021-07-01,583809.7377460558
2021-08-01,710590.290146115
2021-09-01,584662.5840689426
2021-10-01,695465.5733183336
2021-11-01,572448.7113586289
2021-12-01,619558.6027750444
2022-01-01,606419.545709572
2022-02-01,698628.6930107432
2022-03-01,593324.3336070145
2022-04-01,614268.2532848645
2022-05-01,612426.4374015336
2022-06-01,602706.3294712342
2022-07-01,680001.8734500357
2022-08-01,610741.8044474039
2022-09-01,604007.4162839076
2022-10-01,593042.1308553937
2022-11-01,649890.4753526599
2022-12-01,620448.9628204156
2023-01-01,643723.8380205248
2023-02-01,591864.043347158
2023-03-01,595226.9128226885
2023-04-01,643469.9293413786
2023-05-01,633252.4320556063
